trial_num,speed_actual,speed_response,correct,trial_num_100
1,fas,slower,FALSE,101
2,fas,faster,TRUE,102
3,fas,faster,TRUE,103
4,fas,slower,FALSE,104
5,fas,faster,TRUE,105
6,slo,slower,TRUE,106
7,fas,faster,TRUE,107
8,slo,slower,TRUE,108
9,slo,slower,TRUE,109
10,slo,faster,FALSE,110
11,slo,slower,TRUE,111
12,fas,faster,TRUE,112
13,slo,slower,TRUE,113
14,fas,faster,TRUE,114
15,slo,faster,FALSE,115
16,fas,faster,TRUE,116
17,slo,slower,TRUE,117
18,slo,slower,TRUE,118
19,slo,slower,TRUE,119
20,fas,faster,TRUE,120
